source,target,weight
10.1002/ENG2.70570,10.1007/S11227-025-08149-Y,0.6149704597167734
10.1002/ENG2.70570,10.1007/S44163-025-00696-W,0.41030496993110915
10.1002/ENG2.70570,10.1038/S41598-025-28907-5,0.4345240946267408
10.1002/ENG2.70570,10.1049/RPG2.70162,0.587180674734059
10.1002/ENG2.70570,10.1080/15567249.2025.2531448,0.5632719745161455
10.1002/ENG2.70570,10.1080/23311916.2025.2555341,0.5149732311817697
10.1002/ENG2.70570,10.1155/DSN/7868626,0.5060427962483679
10.1002/ENG2.70570,10.13535/j.cnki.10-1507/n.2024.15.30,0.5128812124138864
10.1002/ENG2.70570,10.16628/j.cnki.2095-8188.2025.11.006,0.6486749731408025
10.1002/ENG2.70570,10.19389/j.cnki.1003-0506.2025.03.034,0.5909090909090909
10.1002/ENG2.70570,10.19457/j.1001-2095.dqcd24909,0.5726734439533746
10.1002/ENG2.70570,10.19725/j.cnki.1007-2322.2024.0085,0.5539757358205141
10.1002/ENG2.70570,10.19768/j.cnki.dgjs.2025.23.039,0.4181210050035454
10.1002/ENG2.70570,10.19912/j.0254-0096.tynxb.2023-1790,0.5014781355611008
10.1002/ENG2.70570,10.26926/d.cnki.gbfgu.2024.000792,0.5640760748177662
10.1002/ENG2.70570,10.27047/d.cnki.ggudu.2024.003176,0.607789741118069
10.1002/ENG2.70570,10.27123/d.cnki.ghlju.2025.001668,0.49746833816309105
10.1002/ENG2.70570,10.27327/d.cnki.gshnu.2025.001911,0.5333964609104419
10.1002/ENG2.70570,10.27753/d.cnki.gcqgx.2025.001522,0.5886650060803956
10.1002/ENG2.70570,10.3390/EN19010061,0.5646277385924685
10.1002/ENG2.70570,10.3390/forecast7020025,0.4670993664969138
10.1002/ENG2.70570,10.5152/electrica.2024.22107,0.5276448530110863
10.1002/ENG2.70570,一种双阶段电力数据异常分析模型,0.6254356578717782
10.1002/ENG2.70570,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.6457765999379483
10.1002/ENG2.70570,基于深度学习的电网负荷预测与调度优化研究,0.5512459105263765
10.1002/ENG2.70570,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.5645874766225503
10.1002/ENG2.70570,面向智能化的智慧园区微电网调度优化方法,0.518999296107682
10.1007/S11227-025-08149-Y,10.1080/15567249.2025.2531448,0.5420196589926082
10.1007/S11227-025-08149-Y,10.1155/DSN/7868626,0.5137775366709761
10.1007/S11227-025-08149-Y,10.16618/j.cnki.1674-8417.2025.06.001,0.45933400317823764
10.1007/S11227-025-08149-Y,10.16628/j.cnki.2095-8188.2025.11.006,0.5446192885782924
10.1007/S11227-025-08149-Y,10.19457/j.1001-2095.dqcd24909,0.5934561337610871
10.1007/S11227-025-08149-Y,10.19651/j.cnki.emt.2519013,0.5223032123987
10.1007/S11227-025-08149-Y,10.19912/j.0254-0096.tynxb.2023-1790,0.5641231694598702
10.1007/S11227-025-08149-Y,10.26926/d.cnki.gbfgu.2024.000792,0.5393139754953964
10.1007/S11227-025-08149-Y,10.27029/d.cnki.ggdgu.2025.001070,0.5386796534020274
10.1007/S11227-025-08149-Y,10.27327/d.cnki.gshnu.2025.001911,0.531494003452734
10.1007/S11227-025-08149-Y,10.27753/d.cnki.gcqgx.2025.001522,0.5765508914865057
10.1007/S11227-025-08149-Y,10.27763/d.cnki.gahgc.2024.000190,0.5364846669657493
10.1007/S11227-025-08149-Y,10.3390/SU172411158,0.4428610481746106
10.1007/S11227-025-08149-Y,10.3390/forecast7020025,0.5042194840896107
10.1007/S11227-025-08149-Y,10.5152/electrica.2024.22107,0.5207556439232955
10.1007/S11227-025-08149-Y,基于分布式优化算法的电力系统负荷预测方法,0.39718697957076543
10.1007/S11227-025-08149-Y,基于标准化麻雀搜索算法的微电网调度研究,0.47604248440179164
10.1007/S11227-025-08149-Y,基于深度学习的电力输配电线路节能降耗技术研究,0.4911987087580172
10.1007/S11227-025-08149-Y,基于深度学习的电网负荷预测与调度优化研究,0.5637345210021217
10.1007/S44163-025-00696-W,10.1038/S41598-025-28907-5,0.35954624775333743
10.1007/S44163-025-00696-W,10.1038/S41598-025-28986-4,0.31622776601683794
10.1007/S44163-025-00696-W,10.1049/RPG2.70162,0.3540440964374667
10.1007/S44163-025-00696-W,10.13535/j.cnki.10-1507/n.2024.15.30,0.5000000000000001
10.1007/S44163-025-00696-W,10.16786/j.cnki.1671-8887.eem.2025.06.009,0.2886751345948129
10.1007/S44163-025-00696-W,10.19769/j.zdhy.2025.24.043,0.3746343246326776
10.1007/S44163-025-00696-W,一种双阶段电力数据异常分析模型,0.3370093007873882
10.1007/S44163-025-00696-W,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.38575837490522974
10.1007/S44163-025-00696-W,基于深度学习的电力输配电线路节能降耗技术研究,0.35007002100700246
10.1007/S44163-025-00696-W,融合VMD-MPC算法的多微电网能量调度技术优化,0.36424639819288707
10.1016/j.energy.2025.137454,10.1049/RPG2.70162,0.4696682183138621
10.1016/j.energy.2025.137454,10.13202/j.cnki.cer.2025.11.028,0.34299717028501764
10.1016/j.energy.2025.137454,10.19768/j.cnki.dgjs.2025.23.039,0.47565149415449404
10.1016/j.energy.2025.137454,10.26914/c.cnkihy.2025.077503,0.5530663187549723
10.1016/j.energy.2025.137454,10.27047/d.cnki.ggudu.2024.003176,0.45374260648651504
10.1016/j.energy.2025.137454,10.27075/d.cnki.ghzdc.2025.001900,0.5118906968889915
10.1016/j.energy.2025.137454,10.27123/d.cnki.ghlju.2025.001668,0.5254938542453882
10.1016/j.energy.2025.137454,10.3390/EN19010061,0.5419545609849977
10.1016/j.energy.2025.137454,基于大数据分析的电力调度自动化负荷预测模型研究,0.42808634473904467
10.1016/j.energy.2025.137454,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.5368754921931592
10.1016/j.energy.2025.137454,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.4509560339299333
10.1016/j.rineng.2024.102766,10.1080/23311916.2025.2555341,0.3595732599803958
10.1016/j.rineng.2024.102766,10.13202/j.cnki.cer.2025.11.028,0.5
10.1016/j.rineng.2024.102766,10.16183/j.cnki.jsjtu.2024.184,0.4120816918460671
10.1016/j.rineng.2024.102766,10.19457/j.1001-2095.dqcd24909,0.34188172937891387
10.1016/j.rineng.2024.102766,10.19911/j.1003-0417.tyn20231115.01,0.41702882811414954
10.1016/j.rineng.2024.102766,10.27029/d.cnki.ggdgu.2025.000906,0.3644054444067475
10.1016/j.rineng.2024.102766,10.27029/d.cnki.ggdgu.2025.001070,0.3528251645047713
10.1016/j.rineng.2024.102766,10.27398/d.cnki.gxalu.2024.000658,0.5091750772173156
10.1016/j.rineng.2024.102766,10.3390/ELECTRONICS14244857,0.43259045634870014
10.1016/j.rineng.2024.102766,基于大数据分析的电力调度自动化负荷预测模型研究,0.36980013081681945
10.1038/S41598-025-28907-5,10.1049/RPG2.70162,0.4531466433086317
10.1038/S41598-025-28907-5,10.1080/15435075.2025.2563145,0.5070724870494425
10.1038/S41598-025-28907-5,10.13612/j.cnki.cntp.2025.22.001,0.4529108136578383
10.1038/S41598-025-28907-5,10.19651/j.cnki.emt.2519013,0.44474958999666064
10.1038/S41598-025-28907-5,10.19768/j.cnki.dgjs.2025.14.035,0.48038446141526137
10.1038/S41598-025-28907-5,10.26914/c.cnkihy.2025.077503,0.43695196726442653
10.1038/S41598-025-28907-5,10.27034/d.cnki.ggxiu.2025.000594,0.4396520051149294
10.1038/S41598-025-28907-5,一种双阶段电力数据异常分析模型,0.46773480499969833
10.1038/S41598-025-28907-5,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.4535394202249742
10.1038/S41598-025-28986-4,10.16618/j.cnki.1674-8417.2025.06.001,0.3835706411883073
10.1038/S41598-025-28986-4,10.16628/j.cnki.2095-8188.2025.11.006,0.33946736991660215
10.1038/S41598-025-28986-4,10.19585/j.zjdl.202506005,0.3230291412348993
10.1038/S41598-025-28986-4,10.19768/j.cnki.dgjs.2025.14.035,0.3442651863295481
10.1038/S41598-025-28986-4,10.27029/d.cnki.ggdgu.2025.002295,0.41403933560541256
10.1038/S41598-025-28986-4,10.27327/d.cnki.gshnu.2025.001912,0.48795003647426655
10.1038/S41598-025-28986-4,10.3390/EN19010061,0.3626387311292997
10.1038/S41598-025-28986-4,人工智能技术在10 kV配电网设计中的应用,0.4303314829119352
10.1038/S41598-025-28986-4,基于标准化麻雀搜索算法的微电网调度研究,0.3478327964999673
10.1038/S41598-025-28986-4,基于深度学习的电力输配电线路节能降耗技术研究,0.39852669849304284
10.1049/RPG2.70162,10.1080/15435075.2025.2563145,0.5325080420189116
10.1049/RPG2.70162,10.1080/15567249.2025.2531448,0.5993229798598032
10.1049/RPG2.70162,10.1109/TPWRS.2023.3266763,0.3795360576382948
10.1049/RPG2.70162,10.13245/j.hust.250644,0.5015698625755192
10.1049/RPG2.70162,10.13535/j.cnki.10-1507/n.2024.15.30,0.447213595499958
10.1049/RPG2.70162,10.16183/j.cnki.jsjtu.2024.184,0.5642660953974591
10.1049/RPG2.70162,10.16628/j.cnki.2095-8188.2025.11.006,0.6110100926607787
10.1049/RPG2.70162,10.19389/j.cnki.1003-0506.2025.03.034,0.5917680237554188
10.1049/RPG2.70162,10.19457/j.1001-2095.dqcd24909,0.5409627460747114
10.1049/RPG2.70162,10.19725/j.cnki.1007-2322.2024.0085,0.6096139872764946
10.1049/RPG2.70162,10.19768/j.cnki.dgjs.2025.14.035,0.59336610396393
10.1049/RPG2.70162,10.19768/j.cnki.dgjs.2025.23.039,0.48105119936474167
10.1049/RPG2.70162,10.19783/j.cnki.pspc.241701,0.5060243137049899
10.1049/RPG2.70162,10.19912/j.0254-0096.tynxb.2023-1790,0.5513827967081918
10.1049/RPG2.70162,10.26914/c.cnkihy.2025.077503,0.5774612874137439
10.1049/RPG2.70162,10.26918/d.cnki.ghngc.2025.001579,0.606217782649107
10.1049/RPG2.70162,10.26926/d.cnki.gbfgu.2024.000792,0.6221362965046899
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.000906,0.5560092997993961
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.001070,0.5533985905294664
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.002295,0.5367450401216932
10.1049/RPG2.70162,10.27034/d.cnki.ggxiu.2025.000594,0.4296689244236597
10.1049/RPG2.70162,10.27047/d.cnki.ggudu.2024.003176,0.5750546327852951
10.1049/RPG2.70162,10.27123/d.cnki.ghlju.2025.001668,0.47336463120312877
10.1049/RPG2.70162,10.27763/d.cnki.gahgc.2024.000190,0.626962328219399
10.1049/RPG2.70162,10.3390/BUILDINGS16010170,0.5163977794943223
10.1049/RPG2.70162,10.3390/ELECTRONICS14244857,0.5183052680392058
10.1049/RPG2.70162,一种双阶段电力数据异常分析模型,0.6260475092762272
10.1049/RPG2.70162,基于云计算的电力系统短期负荷预测研究,0.5313689313240572
10.1049/RPG2.70162,基于大数据分析的电力调度自动化负荷预测模型研究,0.40509574683346666
10.1049/RPG2.70162,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.586555725441001
10.1049/RPG2.70162,基于深度学习的电力输配电线路节能降耗技术研究,0.4696682183138621
10.1049/RPG2.70162,基于深度学习的电网负荷预测与调度优化研究,0.5006939628599933
10.1049/RPG2.70162,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.5307227776030219
10.1049/RPG2.70162,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.6110100926607787
10.1049/RPG2.70162,融合VMD-MPC算法的多微电网能量调度技术优化,0.6071575997030697
10.1080/15435075.2025.2563145,10.1080/15567249.2025.2531448,0.5337605126836237
10.1080/15435075.2025.2563145,10.19389/j.cnki.1003-0506.2025.03.034,0.577896743774047
10.1080/15435075.2025.2563145,10.19651/j.cnki.emt.2519013,0.5143444998736397
10.1080/15435075.2025.2563145,10.19768/j.cnki.dgjs.2025.14.035,0.5555555555555556
10.1080/15435075.2025.2563145,10.27327/d.cnki.gshnu.2025.001911,0.6123724356957946
10.1080/15435075.2025.2563145,10.27327/d.cnki.gshnu.2025.001912,0.2519763153394848
10.1080/15435075.2025.2563145,10.3390/EN19010061,0.6047125938466746
10.1080/15435075.2025.2563145,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.5984437489312764
10.1080/15435075.2025.2563145,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.5714395942499463
10.1080/15435075.2025.2563145,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.5378528742004771
10.1080/15567249.2025.2531448,10.1109/TPWRS.2023.3266763,0.3631365196012814
10.1080/15567249.2025.2531448,10.13245/j.hust.250644,0.5058917507467712
10.1080/15567249.2025.2531448,10.16628/j.cnki.2095-8188.2025.11.006,0.5550302767044407
10.1080/15567249.2025.2531448,10.19389/j.cnki.1003-0506.2025.03.034,0.5793654595023211
10.1080/15567249.2025.2531448,10.19651/j.cnki.emt.2519013,0.5188745216627708
10.1080/15567249.2025.2531448,10.26926/d.cnki.gbfgu.2024.000792,0.5349506156386411
10.1080/15567249.2025.2531448,10.27047/d.cnki.ggudu.2024.003176,0.5447047794019221
10.1080/15567249.2025.2531448,10.27075/d.cnki.ghzdc.2025.001900,0.4779521193992432
10.1080/15567249.2025.2531448,10.27327/d.cnki.gshnu.2025.001912,0.3026137663344012
10.1080/15567249.2025.2531448,10.27763/d.cnki.gahgc.2024.000190,0.5278870442575003
10.1080/15567249.2025.2531448,10.3390/EN19010061,0.6372138158713586
10.1080/15567249.2025.2531448,10.3390/forecast7020025,0.5374838498865699
10.1080/15567249.2025.2531448,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.5967623950328608
10.1080/15567249.2025.2531448,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.5358913016456669
10.1080/23311916.2025.2555341,10.13245/j.hust.250644,0.5186074506036453
10.1080/23311916.2025.2555341,10.13612/j.cnki.cntp.2025.22.001,0.41316712200642336
10.1080/23311916.2025.2555341,10.19457/j.1001-2095.dqcd24909,0.50709255283711
10.1080/23311916.2025.2555341,10.19585/j.zjdl.202506005,0.44985724569242663
10.1080/23311916.2025.2555341,10.19725/j.cnki.1007-2322.2024.0085,0.5431343229328283
10.1080/23311916.2025.2555341,10.19768/j.cnki.dgjs.2025.23.039,0.44877455520405946
10.1080/23311916.2025.2555341,10.19911/j.1003-0417.tyn20231115.01,0.5342054792597567
10.1080/23311916.2025.2555341,10.27029/d.cnki.ggdgu.2025.001070,0.5708992257184501
10.1080/23311916.2025.2555341,10.27029/d.cnki.ggdgu.2025.002295,0.5585812268712466
10.1080/23311916.2025.2555341,10.27398/d.cnki.gxalu.2024.000658,0.4707919090691997
10.1080/23311916.2025.2555341,10.27753/d.cnki.gcqgx.2025.001522,0.5778855963970646
10.1080/23311916.2025.2555341,10.3390/BUILDINGS16010170,0.4767312946227962
10.1080/23311916.2025.2555341,一种双阶段电力数据异常分析模型,0.49661611530678773
10.1080/23311916.2025.2555341,人工智能技术在10 kV配电网设计中的应用,0.44946657497549475
10.1080/23311916.2025.2555341,基于云计算的电力系统短期负荷预测研究,0.4905524551257964
10.1080/23311916.2025.2555341,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,0.5663278844691233
10.1109/TPWRS.2023.3266763,10.19389/j.cnki.1003-0506.2025.03.034,0.5698028822981898
10.1109/TPWRS.2023.3266763,10.19651/j.cnki.emt.2519013,0.40824829046386296
10.1109/TPWRS.2023.3266763,10.19783/j.cnki.pspc.241701,0.5640760748177662
10.1109/TPWRS.2023.3266763,10.19912/j.0254-0096.tynxb.2023-1790,0.34740416688982556
10.1109/TPWRS.2023.3266763,10.26918/d.cnki.ghngc.2025.001579,0.35856858280031806
10.1109/TPWRS.2023.3266763,10.27753/d.cnki.gcqgx.2025.001522,0.48595432244043496
10.1109/TPWRS.2023.3266763,10.27763/d.cnki.gahgc.2024.000190,0.4672567184860485
10.1109/TPWRS.2023.3266763,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.4517539514526256
10.1155/DSN/7868626,10.13612/j.cnki.cntp.2025.22.001,0.41697519441472974
10.1155/DSN/7868626,10.16618/j.cnki.1674-8417.2025.06.001,0.4801287609333055
10.1155/DSN/7868626,10.16628/j.cnki.2095-8188.2025.11.006,0.569275042553311
10.1155/DSN/7868626,10.19585/j.zjdl.202506005,0.5107539184552492
10.1155/DSN/7868626,10.19725/j.cnki.1007-2322.2024.0085,0.5337155309697624
10.1155/DSN/7868626,10.19912/j.0254-0096.tynxb.2023-1790,0.48245064067700766
10.1155/DSN/7868626,10.27029/d.cnki.ggdgu.2025.001070,0.49759366083497786
10.1155/DSN/7868626,10.27327/d.cnki.gshnu.2025.001911,0.5277777777777778
10.1155/DSN/7868626,10.27753/d.cnki.gcqgx.2025.001522,0.5248906591678238
10.1155/DSN/7868626,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,0.4626813958590447
10.1155/DSN/7868626,基于标准化麻雀搜索算法的微电网调度研究,0.4714045207910316
10.1155/DSN/7868626,基于深度学习的电力输配电线路节能降耗技术研究,0.4667600280093365
10.13202/j.cnki.cer.2025.11.028,10.16183/j.cnki.jsjtu.2024.184,0.3777415508588948
10.13202/j.cnki.cer.2025.11.028,10.19457/j.1001-2095.dqcd24909,0.4558423058385518
10.13202/j.cnki.cer.2025.11.028,10.19911/j.1003-0417.tyn20231115.01,0.36490022459988086
10.13202/j.cnki.cer.2025.11.028,10.27029/d.cnki.ggdgu.2025.001070,0.4089564406759849
10.13202/j.cnki.cer.2025.11.028,10.27398/d.cnki.gxalu.2024.000658,0.600099198148979
10.13202/j.cnki.cer.2025.11.028,10.3390/BUILDINGS16010170,0.41247895569215276
10.13202/j.cnki.cer.2025.11.028,10.3390/ELECTRONICS14244857,0.48666426339228763
10.13202/j.cnki.cer.2025.11.028,基于大数据分析的电力调度自动化负荷预测模型研究,0.48536267169707553
10.13245/j.hust.250644,10.19457/j.1001-2095.dqcd24909,0.5322254277140611
10.13245/j.hust.250644,10.19725/j.cnki.1007-2322.2024.0085,0.5387270543537271
10.13245/j.hust.250644,10.19911/j.1003-0417.tyn20231115.01,0.5155498351135843
10.13245/j.hust.250644,10.26926/d.cnki.gbfgu.2024.000792,0.5139561687500467
10.13245/j.hust.250644,10.27029/d.cnki.ggdgu.2025.002295,0.49560059129468786
10.13245/j.hust.250644,10.27047/d.cnki.ggudu.2024.003176,0.519174131651165
10.13245/j.hust.250644,10.27075/d.cnki.ghzdc.2025.001900,0.4099951888601959
10.13245/j.hust.250644,10.27327/d.cnki.gshnu.2025.001912,0.3634218921558155
10.13245/j.hust.250644,10.27753/d.cnki.gcqgx.2025.001522,0.5101963803808449
10.13245/j.hust.250644,10.3390/SU172411158,0.415339305320932
10.13245/j.hust.250644,10.3390/forecast7020025,0.4255961412791452
10.13245/j.hust.250644,人工智能技术在10 kV配电网设计中的应用,0.4120816918460671
10.13535/j.cnki.10-1507/n.2024.15.30,10.19457/j.1001-2095.dqcd24909,0.4885042104591972
10.13535/j.cnki.10-1507/n.2024.15.30,10.19769/j.zdhy.2025.24.043,0.4214636152117623
10.13535/j.cnki.10-1507/n.2024.15.30,10.26926/d.cnki.gbfgu.2024.000792,0.46371301675148385
10.13535/j.cnki.10-1507/n.2024.15.30,10.27763/d.cnki.gahgc.2024.000190,0.4766563309782377
10.13535/j.cnki.10-1507/n.2024.15.30,10.5152/electrica.2024.22107,0.4592793267718459
10.13535/j.cnki.10-1507/n.2024.15.30,基于大数据分析的电力调度自动化负荷预测模型研究,0.45291081365783836
10.13535/j.cnki.10-1507/n.2024.15.30,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.5400617248673216
10.13535/j.cnki.10-1507/n.2024.15.30,面向智能化的智慧园区微电网调度优化方法,0.5270462766947299
10.13612/j.cnki.cntp.2025.22.001,10.16628/j.cnki.2095-8188.2025.11.006,0.47892074434615944
10.13612/j.cnki.cntp.2025.22.001,10.19389/j.cnki.1003-0506.2025.03.034,0.461934885437156
10.13612/j.cnki.cntp.2025.22.001,10.19585/j.zjdl.202506005,0.49147318718299055
10.13612/j.cnki.cntp.2025.22.001,10.3390/ELECTRONICS14244857,0.42059551209602997
10.13612/j.cnki.cntp.2025.22.001,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,0.47140452079103173
10.13612/j.cnki.cntp.2025.22.001,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.44543540318737396
10.13612/j.cnki.cntp.2025.22.001,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.42257712736425834
10.16183/j.cnki.jsjtu.2024.184,10.19769/j.zdhy.2025.24.043,0.4726901187474408
10.16183/j.cnki.jsjtu.2024.184,10.19911/j.1003-0417.tyn20231115.01,0.48690817760727406
10.16183/j.cnki.jsjtu.2024.184,10.26914/c.cnkihy.2025.077503,0.5451993949567885
10.16183/j.cnki.jsjtu.2024.184,10.26918/d.cnki.ghngc.2025.001579,0.5429653034538366
10.16183/j.cnki.jsjtu.2024.184,10.26926/d.cnki.gbfgu.2024.000792,0.5139561687500467
10.16183/j.cnki.jsjtu.2024.184,10.27029/d.cnki.ggdgu.2025.000906,0.5577550161821874
10.16183/j.cnki.jsjtu.2024.184,10.27075/d.cnki.ghzdc.2025.001900,0.46856593012593817
10.16183/j.cnki.jsjtu.2024.184,10.27123/d.cnki.ghlju.2025.001668,0.4532667357667233
10.16183/j.cnki.jsjtu.2024.184,10.3390/ELECTRONICS14244857,0.5570706472769831
10.16183/j.cnki.jsjtu.2024.184,一种双阶段电力数据异常分析模型,0.5756786991879427
10.16183/j.cnki.jsjtu.2024.184,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.4925318274773389
10.16183/j.cnki.jsjtu.2024.184,融合VMD-MPC算法的多微电网能量调度技术优化,0.4902221696037451
10.16618/j.cnki.1674-8417.2025.06.001,10.16628/j.cnki.2095-8188.2025.11.006,0.5548709520230941
10.16618/j.cnki.1674-8417.2025.06.001,10.19585/j.zjdl.202506005,0.4646418555974199
10.16618/j.cnki.1674-8417.2025.06.001,10.19725/j.cnki.1007-2322.2024.0085,0.5905099943842173
10.16618/j.cnki.1674-8417.2025.06.001,10.19768/j.cnki.dgjs.2025.14.035,0.4642383454426297
10.16618/j.cnki.1674-8417.2025.06.001,10.27029/d.cnki.ggdgu.2025.002295,0.5211062503347385
