cited_paper,10.1002/ENG2.70570,10.1007/S11227-025-08149-Y,10.1007/S44163-025-00696-W,10.1016/j.energy.2025.137454,10.1016/j.rineng.2024.102766,10.1038/S41598-025-28907-5,10.1038/S41598-025-28986-4,10.1049/RPG2.70162,10.1080/15435075.2025.2563145,10.1080/15567249.2025.2531448,10.1080/23311916.2025.2555341,10.1109/TPWRS.2023.3266763,10.1155/DSN/7868626,10.13202/j.cnki.cer.2025.11.028,10.13245/j.hust.250644,10.13535/j.cnki.10-1507/n.2024.15.30,10.13612/j.cnki.cntp.2025.22.001,10.16183/j.cnki.jsjtu.2024.184,10.16618/j.cnki.1674-8417.2025.06.001,10.16628/j.cnki.2095-8188.2025.11.006,10.16786/j.cnki.1671-8887.eem.2025.06.009,10.19389/j.cnki.1003-0506.2025.03.034,10.19457/j.1001-2095.dqcd24909,10.19585/j.zjdl.202506005,10.19651/j.cnki.emt.2519013,10.19725/j.cnki.1007-2322.2024.0085,10.19768/j.cnki.dgjs.2025.14.035,10.19768/j.cnki.dgjs.2025.23.039,10.19769/j.zdhy.2025.24.043,10.19783/j.cnki.pspc.241701,10.19911/j.1003-0417.tyn20231115.01,10.19912/j.0254-0096.tynxb.2023-1790,10.26914/c.cnkihy.2025.077503,10.26918/d.cnki.ghngc.2025.001579,10.26926/d.cnki.gbfgu.2024.000792,10.27029/d.cnki.ggdgu.2025.000906,10.27029/d.cnki.ggdgu.2025.001070,10.27029/d.cnki.ggdgu.2025.002295,10.27034/d.cnki.ggxiu.2025.000594,10.27047/d.cnki.ggudu.2024.003176,10.27075/d.cnki.ghzdc.2025.001900,10.27123/d.cnki.ghlju.2025.001668,10.27327/d.cnki.gshnu.2025.001911,10.27327/d.cnki.gshnu.2025.001912,10.27398/d.cnki.gxalu.2024.000658,10.27753/d.cnki.gcqgx.2025.001522,10.27763/d.cnki.gahgc.2024.000190,10.3390/BUILDINGS16010170,10.3390/ELECTRONICS14244857,10.3390/EN19010061,10.3390/SU172411158,10.3390/forecast7020025,10.5152/electrica.2024.22107,一种双阶段电力数据异常分析模型,人工智能技术在10 kV配电网设计中的应用,基于云计算的电力系统短期负荷预测研究,基于分布式优化算法的电力系统负荷预测方法,基于大数据分析的电力调度自动化负荷预测模型研究,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,基于标准化麻雀搜索算法的微电网调度研究,基于深度学习-强化学习联合算法的电力调度信息化择优决策,基于深度学习的电力输配电线路节能降耗技术研究,基于深度学习的电网负荷预测与调度优化研究,基于火用损能效评估的多能耦合微电网双层协同优化方法,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,融合VMD-MPC算法的多微电网能量调度技术优化,面向智能化的智慧园区微电网调度优化方法
10.1002/ENG2.70570,0.0,0.6149704597167734,0.41030496993110915,0.396433895662848,0.20100756305184242,0.4345240946267408,0.3113995776646092,0.587180674734059,0.4857682773752859,0.5632719745161455,0.5149732311817697,0.34188172937891387,0.5060427962483679,0.2763853991962833,0.46937870771879664,0.5128812124138864,0.3553345272593508,0.45557345160942025,0.391924757669098,0.6486749731408025,0.24873416908154547,0.5909090909090909,0.5726734439533746,0.41912974230795436,0.4807501753725433,0.5539757358205141,0.5192695378839263,0.4181210050035454,0.36891438072857313,0.40712208613770917,0.4610427165387498,0.5014781355611008,0.3739787960033829,0.4449492083146097,0.5640760748177662,0.43948950205814374,0.47387806343495525,0.4969241611489845,0.3942082639927218,0.607789741118069,0.23570226039551584,0.49746833816309105,0.5333964609104419,0.15194743527951726,0.3070441243145589,0.5886650060803956,0.49698921993754935,0.42640143271122094,0.44020438924006666,0.5646277385924685,0.3038948705590345,0.4670993664969138,0.5276448530110863,0.6254356578717782,0.20100756305184242,0.4875149494180871,0.2508726030021272,0.27874733666903023,0.3417128571881321,0.3868392354571063,0.6457765999379483,0.4653789209955172,0.5512459105263765,0.4045199174779452,0.5645874766225503,0.40759665670376544,0.518999296107682
10.1007/S11227-025-08149-Y,0.6149704597167734,0.0,0.1860229012084569,0.2902537824479192,0.13018891098082389,0.3543974693413207,0.30253169045376643,0.5348055246092194,0.412264884772609,0.5420196589926082,0.40375739103654934,0.34444748191358604,0.5137775366709761,0.19528336647123581,0.41130491134040775,0.4251952027621872,0.24548656477288627,0.41130491134040775,0.45933400317823764,0.5446192885782924,0.1380861926847485,0.5102946367862587,0.5934561337610871,0.2714626448989516,0.5223032123987,0.4001999119560291,0.4773593402630209,0.32497116510335355,0.35840861465369933,0.33307642899202133,0.4614864963282177,0.5641231694598702,0.37140278145918526,0.3499394620768628,0.5393139754953964,0.4676381156332907,0.5386796534020274,0.43493062539951316,0.2297893145346744,0.4920678313051229,0.22205095266134756,0.3989156677559402,0.531494003452734,0.19682713252204917,0.3409145938362817,0.5765508914865057,0.5364846669657493,0.3682298471593294,0.31679145232163375,0.4571237848023164,0.4428610481746106,0.5042194840896107,0.5207556439232955,0.4794862386288527,0.1735852146410985,0.44205628456547086,0.39718697957076543,0.21664744340223568,0.3645289507463068,0.47604248440179164,0.46746443973986673,0.4911987087580172,0.5637345210021217,0.3299260888524298,0.46681653306710785,0.4223886030955117,0.47060485181697004
10.1007/S44163-025-00696-W,0.41030496993110915,0.1860229012084569,0.0,0.2100420126042015,0.20412414523193154,0.35954624775333743,0.31622776601683794,0.3540440964374667,0.20412414523193154,0.1307440900921227,0.13762047064079508,0.1543033499620919,0.2777777777777778,0.10206207261596577,0.11215443081840887,0.5000000000000001,0.09622504486493764,0.25234746934141994,0.18952451089472588,0.2439750182371333,0.2886751345948129,0.15386436372416595,0.2326210525996177,0.08512565307587487,0.18898223650461363,0.2596453934447493,0.2721655269759087,0.28306925853614895,0.3746343246326776,0.3046358979224712,0.2553769592276246,0.16081688022566926,0.27850332594800836,0.2904737509655563,0.2182178902359924,0.1912730139190015,0.2160604053625562,0.24549512651549144,0.24019223070763074,0.2828894749305018,0.2175970699446223,0.2886751345948129,0.25000000000000006,0.0,0.08908708063747481,0.262445329583912,0.25234746934141994,0.09622504486493764,0.1986798535597566,0.23890924128374835,0.0,0.10540925533894598,0.3061862178478973,0.3370093007873882,0.0,0.19802950859533489,0.0,0.28306925853614895,0.12247448713915891,0.23570226039551584,0.38575837490522974,0.35007002100700246,0.20623947784607638,0.24343224778007383,0.21957751641341997,0.36424639819288707,0.31622776601683794
10.1016/j.energy.2025.137454,0.396433895662848,0.2902537824479192,0.2100420126042015,0.0,0.28583097523751466,0.4119262772858173,0.3099652099390333,0.4696682183138621,0.40016336533252056,0.4119262772858173,0.3931226965534482,0.06482037235521643,0.3267320196065356,0.34299717028501764,0.42402856268839095,0.31506301890630223,0.40422604172722165,0.40047142031681365,0.318464877649241,0.3894620293031242,0.24253562503633297,0.28439822949726057,0.37133747487219954,0.3218393429334682,0.3175536744149779,0.4181127143528441,0.28583097523751466,0.47565149415449404,0.3147557901458534,0.14625448482542613,0.25031948894825307,0.36030187928883595,0.5530663187549723,0.27116307227332015,0.412514323662695,0.3481865296036271,0.346551640041836,0.3208444739598739,0.3363363969981562,0.45374260648651504,0.5118906968889915,0.5254938542453882,0.3850770231077027,0.12964074471043285,0.3368165348543039,0.24499797877501261,0.3533571355736591,0.20211302086361083,0.33384893044479436,0.5419545609849977,0.1944611170656493,0.2214037213850238,0.12862393885688161,0.37026581558867727,0.17149858514250882,0.291161615782696,0.23782574707724702,0.42808634473904467,0.30869745325651593,0.23103442669455732,0.42133242030890683,0.35294117647058826,0.27229057431858544,0.5368754921931592,0.4509560339299333,0.4173111630559929,0.3099652099390333
10.1016/j.rineng.2024.102766,0.20100756305184242,0.13018891098082389,0.20412414523193154,0.28583097523751466,0.0,0.2135042050734495,0.0,0.3347193406976015,0.1111111111111111,0.053376051268362375,0.3595732599803958,0.1259881576697424,0.22680460581325723,0.5,0.27472112789737807,0.13608276348795434,0.23570226039551584,0.4120816918460671,0.061898446059017294,0.11952286093343938,0.1178511301977579,0.20100756305184242,0.34188172937891387,0.27801921874276636,0.10286889997472794,0.24733283866815067,0.1111111111111111,0.18490006540840973,0.15294382258037448,0.21320071635561044,0.41702882811414954,0.2626128657194451,0.16537964611894462,0.26352313834736496,0.0890870806374748,0.3644054444067475,0.3528251645047713,0.22271770159368698,0.1307440900921227,0.25197631533948484,0.21320071635561044,0.07856742013183861,0.13608276348795434,0.0,0.5091750772173156,0.2857142857142857,0.22893427324781504,0.31426968052735443,0.43259045634870014,0.19506857866021765,0.2519763153394848,0.0,0.08333333333333333,0.2116668783336508,0.1111111111111111,0.08084520834544433,0.18490006540840973,0.36980013081681945,0.2,0.0,0.1259881576697424,0.11433239009500587,0.14433756729740643,0.1987615979999813,0.27888667551135854,0.21629522817435007,0.17213259316477406
10.1038/S41598-025-28907-5,0.4345240946267408,0.3543974693413207,0.35954624775333743,0.4119262772858173,0.2135042050734495,0.0,0.20672455764868075,0.4531466433086317,0.5070724870494425,0.3333333333333333,0.32387513781564786,0.06052275326688023,0.3268602252303067,0.16012815380508713,0.3959152831931253,0.22880215766121473,0.4529108136578383,0.41791057670385445,0.17841031003501578,0.3827795011754764,0.2830692585361489,0.36210341218895065,0.2737244507256794,0.3338902816470889,0.44474958999666064,0.39039165819426686,0.48038446141526137,0.35529247334746206,0.25715142542972574,0.30725493389951347,0.30050125348238005,0.29436199347182596,0.43695196726442653,0.4050957468334666,0.299572344757639,0.35010942629624875,0.30816677568068285,0.3209703693831847,0.4396520051149294,0.3631365196012814,0.40967324519935133,0.4151682458530185,0.35954624775333743,0.1815682598006407,0.13977131156292244,0.2973808570665904,0.26394352212875016,0.1887128390240993,0.3117146000796787,0.4310564048541543,0.12104550653376046,0.12403473458920844,0.24019223070763068,0.46773480499969833,0.1601281538050871,0.27185747308321606,0.3108809141790293,0.3108809141790293,0.32025630761017426,0.215716742976478,0.42365927286816163,0.3844645254667628,0.25423758993656337,0.4535394202249742,0.3827795011754764,0.3896432500995984,0.3100868364730211
10.1038/S41598-025-28986-4,0.3113995776646092,0.30253169045376643,0.31622776601683794,0.3099652099390333,0.0,0.20672455764868075,0.0,0.30641293851417056,0.2151657414559676,0.24806946917841688,0.3133397807202561,0.0,0.31622776601683794,0.06454972243679027,0.24826441574616803,0.26352313834736496,0.18257418583505539,0.07093269021319086,0.3835706411883073,0.33946736991660215,0.09128709291752767,0.11677484162422844,0.14712247158412492,0.3230291412348993,0.2390457218668787,0.30105930332718533,0.3442651863295481,0.21483446221182986,0.29617443887954614,0.0,0.26919095102908275,0.27122540144832413,0.25620504608813943,0.1632993161855452,0.2760262237369417,0.16129556770910236,0.32298759674996963,0.41403933560541256,0.20254787341673333,0.16265001215808883,0.22019275302527208,0.24343224778007383,0.31622776601683794,0.48795003647426655,0.1126872339638022,0.18442777839082936,0.14186538042638172,0.18257418583505539,0.08377078165833911,0.3626387311292997,0.1951800145897066,0.1333333333333333,0.2581988897471611,0.16395645894598823,0.4303314829119352,0.25048971643405976,0.2864459496157732,0.21483446221182986,0.2065591117977289,0.3478327964999673,0.2927700218845599,0.39852669849304284,0.2608745973749755,0.2309401076758503,0.18516401995451026,0.2931977358041869,0.2666666666666666
10.1049/RPG2.70162,0.587180674734059,0.5348055246092194,0.3540440964374667,0.4696682183138621,0.3347193406976015,0.4531466433086317,0.30641293851417056,0.0,0.5325080420189116,0.5993229798598032,0.43082021842766455,0.3795360576382948,0.45963619537495676,0.27386127875258304,0.5015698625755192,0.447213595499958,0.40881490876633847,0.5642660953974591,0.4237896897630065,0.6110100926607787,0.22592402852876597,0.5917680237554188,0.5409627460747114,0.38069349381344053,0.4507489358552088,0.6096139872764946,0.59336610396393,0.48105119936474167,0.3769685174625259,0.5060243137049899,0.47586686726680066,0.5513827967081918,0.5774612874137439,0.606217782649107,0.6221362965046899,0.5560092997993961,0.5533985905294664,0.5367450401216932,0.4296689244236597,0.5750546327852951,0.40871194568479957,0.47336463120312877,0.447213595499958,0.20701966780270625,0.23904572186687875,0.48251749113550346,0.626962328219399,0.5163977794943223,0.5183052680392058,0.5342173039633603,0.34503277967117707,0.37712361663282534,0.38797014489949266,0.6260475092762272,0.2738612787525831,0.5313689313240572,0.25318484177091666,0.40509574683346666,0.4016632088371218,0.2986595567936803,0.586555725441001,0.4696682183138621,0.5006939628599933,0.5307227776030219,0.6110100926607787,0.6071575997030697,0.4124789556921527
10.1080/15435075.2025.2563145,0.4857682773752859,0.412264884772609,0.20412414523193154,0.40016336533252056,0.1111111111111111,0.5070724870494425,0.2151657414559676,0.5325080420189116,0.0,0.5337605126836237,0.2921532737340716,0.314970394174356,0.43092875104518874,0.041666666666666664,0.3662948371965041,0.2721655269759087,0.3535533905932738,0.3205079825469411,0.43328912241312106,0.4780914437337575,0.17677669529663687,0.577896743774047,0.32288829996897417,0.41702882811414954,0.5143444998736397,0.49466567733630135,0.5555555555555556,0.36980013081681945,0.11470786693528086,0.31980107453341566,0.13900960937138318,0.30638167667268595,0.43412157106222965,0.4479893351905204,0.44543540318737396,0.3383764840919798,0.25660011963983365,0.4899789435061114,0.42491829279939874,0.4829546044006792,0.39086797998528583,0.4321208107251124,0.6123724356957946,0.2519763153394848,0.07273929674533079,0.38095238095238093,0.4578685464956301,0.15713484026367722,0.35147974578331886,0.6047125938466746,0.0,0.30123203803835463,0.20833333333333334,0.4656671323340318,0.1111111111111111,0.3233808333817773,0.1386750490563073,0.2773500981126146,0.3,0.3207501495497921,0.5984437489312764,0.37158026780876907,0.24056261216234406,0.5714395942499463,0.5378528742004771,0.2703690352179376,0.4088149087663384
10.1080/15567249.2025.2531448,0.5632719745161455,0.5420196589926082,0.1307440900921227,0.4119262772858173,0.053376051268362375,0.3333333333333333,0.24806946917841688,0.5993229798598032,0.5337605126836237,0.0,0.3670584895244009,0.3631365196012814,0.3704415885943476,0.08006407690254357,0.5058917507467712,0.2614881801842454,0.1887128390240993,0.43990587021458366,0.44602577508753943,0.5550302767044407,0.16984155512168936,0.5793654595023211,0.4197108244460418,0.4006683379765067,0.5188745216627708,0.49223296033190167,0.48038446141526137,0.3108809141790293,0.18367958959266123,0.30725493389951347,0.4006683379765067,0.46256884688429795,0.4568134203219004,0.4810511993647416,0.5349506156386411,0.35010942629624875,0.44684182473699013,0.4493585171364585,0.3140371465106639,0.5447047794019221,0.4779521193992432,0.4529108136578383,0.4902903378454601,0.3026137663344012,0.20965696734438366,0.48038446141526137,0.5278870442575003,0.3396831102433787,0.25976216673306557,0.6372138158713586,0.3026137663344012,0.5374838498865699,0.2802242691589025,0.48807110086925043,0.3202563076101742,0.4272046005593395,0.22205779584216379,0.35529247334746206,0.2882306768491569,0.215716742976478,0.39339789623472154,0.32954102182865386,0.43913765534497307,0.5967623950328608,0.5358913016456669,0.4156194667729049,0.3514317480027573
10.1080/23311916.2025.2555341,0.5149732311817697,0.40375739103654934,0.13762047064079508,0.3931226965534482,0.3595732599803958,0.32387513781564786,0.3133397807202561,0.43082021842766455,0.2921532737340716,0.3670584895244009,0.0,0.15289415743128765,0.4403855060505442,0.337099931231621,0.5186074506036453,0.3578132236660672,0.41316712200642336,0.37043389328831805,0.3755873143771008,0.45126085985421294,0.14301938838683884,0.3862299233863273,0.50709255283711,0.44985724569242663,0.3537064108950036,0.5431343229328283,0.42699324622671997,0.44877455520405946,0.24747528995589838,0.17248787237282068,0.5342054792597567,0.4780446064626449,0.3846713246032618,0.3624412178045377,0.4324499820938683,0.315876986356996,0.5708992257184501,0.5585812268712466,0.26444294267397256,0.4077177531501004,0.34497574474564136,0.2860387767736777,0.24771684715343115,0.1019294382875251,0.4707919090691997,0.5778855963970646,0.38895558795273394,0.4767312946227962,0.3718568433708361,0.42610927684772504,0.3057883148625753,0.27852424952911653,0.30338993810845893,0.49661611530678773,0.44946657497549475,0.4905524551257964,0.3365809164030446,0.2991830368027063,0.5663278844691233,0.18164975363768868,0.4077177531501004,0.3006232385408722,0.4087119456847996,0.3417128571881321,0.48349377841522817,0.41560470729681676,0.47000967108038416
10.1109/TPWRS.2023.3266763,0.34188172937891387,0.34444748191358604,0.1543033499620919,0.06482037235521643,0.1259881576697424,0.06052275326688023,0.0,0.3795360576382948,0.314970394174356,0.3631365196012814,0.15289415743128765,0.0,0.20573779994945587,0.0,0.1557522394953495,0.23145502494313785,0.2672612419124244,0.207669652660466,0.21055872190307892,0.2258769757263128,0.26726124191242434,0.5698028822981898,0.2584382953523688,0.23643312187173018,0.40824829046386296,0.20032077005375098,0.1889822365046136,0.20965696734438366,0.0,0.5640760748177662,0.15762208124782012,0.34740416688982556,0.14064216928154863,0.35856858280031806,0.2525381361380527,0.2361125344403821,0.2545875386086578,0.20203050891044214,0.22237479499833035,0.33333333333333326,0.08058229640253803,0.1781741612749496,0.3086066999241838,0.0,0.0,0.48595432244043496,0.4672567184860485,0.2672612419124244,0.18394180184548975,0.3096617686426662,0.0,0.2927700218845599,0.0944911182523068,0.2880092164423916,0.0,0.18333969940564224,0.0,0.10482848367219183,0.22677868380553634,0.07273929674533079,0.2857142857142857,0.06482037235521643,0.2182178902359924,0.2253744679276044,0.4517539514526256,0.12262786789699316,0.14638501094227996
10.1155/DSN/7868626,0.5060427962483679,0.5137775366709761,0.2777777777777778,0.3267320196065356,0.22680460581325723,0.3268602252303067,0.31622776601683794,0.45963619537495676,0.43092875104518874,0.3704415885943476,0.4403855060505442,0.20573779994945587,0.0,0.34020690871988585,0.37384810272802954,0.3888888888888889,0.41697519441472974,0.2616936719096207,0.4801287609333055,0.569275042553311,0.0,0.47185071542077545,0.4342259648526197,0.5107539184552492,0.46195657812238883,0.5337155309697624,0.3855678298825373,0.264197974633739,0.24975621642178503,0.17407765595569785,0.36887782999545776,0.48245064067700766,0.38821675738207223,0.3442651863295481,0.34551165954032126,0.3400409136337804,0.49759366083497786,0.47280542884465016,0.18681617943926834,0.4286204165613664,0.2030905986149808,0.2886751345948129,0.5277777777777778,0.20573779994945587,0.32665262900407427,0.5248906591678238,0.33646329245522655,0.3849001794597505,0.35320862855067836,0.38225478605399726,0.20573779994945587,0.21081851067789195,0.408248290463863,0.32836803666463465,0.3175264481385601,0.33004918099222474,0.1887128390240993,0.3019405424385589,0.4626813958590447,0.4714045207910316,0.38575837490522974,0.4667600280093365,0.3731952456262334,0.2637182684284133,0.42289003161103106,0.30905754998184354,0.4567734398020992
10.13202/j.cnki.cer.2025.11.028,0.2763853991962833,0.19528336647123581,0.10206207261596577,0.34299717028501764,0.5,0.16012815380508713,0.06454972243679027,0.27386127875258304,0.041666666666666664,0.08006407690254357,0.337099931231621,0.0,0.34020690871988585,0.0,0.27472112789737807,0.15309310892394865,0.2946278254943948,0.3777415508588948,0.18569533817705186,0.2091650066335189,0.0,0.11306675421666136,0.4558423058385518,0.1563858105428061,0.1543033499620919,0.185499629001113,0.125,0.2773500981126146,0.22941573387056174,0.053300179088902604,0.36490022459988086,0.22978625750451445,0.1860521018838127,0.15811388300841897,0.2004459314343183,0.31234752377721214,0.4089564406759849,0.16703827619526523,0.14708710135363803,0.2834733547569204,0.15990053726670783,0.2946278254943948,0.10206207261596577,0.0944911182523068,0.600099198148979,0.21428571428571427,0.2403809869102058,0.41247895569215276,0.48666426339228763,0.11704114719613057,0.2834733547569204,0.06454972243679027,0.125,0.22225022225033336,0.16666666666666666,0.06063390625908324,0.20801257358446093,0.48536267169707553,0.25,0.14433756729740643,0.236227795630767,0.12862393885688161,0.2525907427704613,0.14907119849998599,0.23904572186687872,0.16222142113076254,0.2581988897471611
10.13245/j.hust.250644,0.46937870771879664,0.41130491134040775,0.11215443081840887,0.42402856268839095,0.27472112789737807,0.3959152831931253,0.24826441574616803,0.5015698625755192,0.3662948371965041,0.5058917507467712,0.5186074506036453,0.1557522394953495,0.37384810272802954,0.27472112789737807,0.0,0.25234746934141994,0.22663336788336166,0.4716981132075472,0.3826082456196356,0.44327864472960504,0.09712858623572641,0.4348655674453557,0.5322254277140611,0.4296248625946536,0.4027087082293325,0.5387270543537271,0.3662948371965041,0.3428726929917567,0.2521013966653018,0.23428296506296908,0.5155498351135843,0.39679916468944754,0.4770494705871899,0.3909350184867624,0.5139561687500467,0.4290423201401441,0.43617837214497923,0.49560059129468786,0.1616317375321096,0.519174131651165,0.4099951888601959,0.3237619541190881,0.3084246847506244,0.3634218921558155,0.38966892206461745,0.5101963803808449,0.37735849056603776,0.4532667357667233,0.4010908660394278,0.46622830153779854,0.415339305320932,0.4255961412791452,0.3434014098717226,0.47100984479013497,0.4120816918460671,0.36646313255902324,0.30477572710378376,0.30477572710378376,0.30219324068711584,0.21148042285817176,0.311504478990699,0.30624285083050456,0.43617837214497934,0.49143609346716094,0.4925318274773389,0.4233736919305071,0.3546634510659543
