来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title,stage1_status,stage1_reason
期刊,基于改进哈里斯鹰算法的多能源微电网智能优化调度,周咏;朱星阳;赵伟;赵杨阳;王彬彬;丁一帆,国网(苏州)城市能源研究院有限责任公司,能源与环保,,2025/3/25,2025.0,10.19389/j.cnki.1003-0506.2025.03.034,国家电网公司科技项目(CEKY23095),,chinese,CNKI-20260327180524663.csv,10.19389/j.cnki.1003-0506.2025.03.034,10.1080/23311916.2025.2555341,Demand response for efficient power generation in smart grids using hyper–local weather prediction,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,基于粒子群算法的微电网调度研究分析,马莉;陈旭东;郗皓;武雪青;王沛;哈丽米热·热依木江,昌吉学院能源与控制工程学院,电工技术,,2025/7/25,2025.0,10.19768/j.cnki.dgjs.2025.14.035,2023年新疆维吾尔自治区教育厅高校科研计划项目“基于深度学习的风电功率超短期预测研究”(编号XJEDU2023P129);;2024年昌吉学院能源与控制工程学院自治区级大学生创新创业训练计划项目“基于粒子群算法的微电网调度研究分析”(编号S202410997023),,chinese,CNKI-20260327180524663.csv,10.19768/j.cnki.dgjs.2025.14.035,10.13535/j.cnki.10-1507/n.2024.15.30,基于多能互补的微电网调度策略研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
硕士,基于联邦强化学习的微电网储能调度方法的研究与应用,王齐,黑龙江大学,黑龙江大学,,2025/3/27,2025.0,10.27123/d.cnki.ghlju.2025.001668,,,english,CNKI-20260327180524663.csv,10.27123/d.cnki.ghlju.2025.001668,10.19725/j.cnki.1007-2322.2024.0085,计及混合储能单元多重异构特性的微电网调度策略研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,基于金豺优化核极限学习机和信号分解重构的短期电力负荷预测方法研究,苏爱文,沈阳农业大学,沈阳农业大学,"随着电力系统规模不断扩大和用电结构日趋复杂,电力负荷呈现出显著的非线性和强波动性特征,精准的短期负荷预测对保障电力系统安全稳定运行和经济调度具有重要意义。然而,传统预测方法在应对高度非线性、时变性负荷数据时存在预测精度偏低、模型适应性不强等问题,且多数研究仅提供确定性预测结果,无法量化预测不确定性。为此,本文构建并优化确定性及不确定性预测模型,以提升短期电力负荷预测的准确性和可靠性,研究主要内容如下:针对原始负荷数据存在异常值、缺失值和特征冗余等问题,提出完整的数据预处理流程。首先,采用拉伊达准则检测异常值,运用加权均值法进行异常值替换,利用牛顿插值法填补缺失数据;然后,通过皮尔逊相关系数法分析各特征变量与负荷序列的关联程度,筛选出气温、相对湿度、地面温度和临近变压器负荷作为主要输入特征;最后,采用Min-Max标准化方法对数据进行归一化处理,为后续建模提供高质量的数据基础。传统核极限学习机(KELM)参数选择的随机性限制了其预测性能,为解决此问题,提出金豺优化算法(GJO)优化KELM的组合预测模型。该方法通过模拟金豺群体狩猎行为,实现对KELM核函数参数的智能寻优,有效避免了人工调参的主观性和陷入局部最优的风险。实验结果表明,GJO-KELM模型在周负荷、工作日负荷和休息日负荷预测中均取得优异效果,相比传统BP、SVM、ELM、LSTM等方法,预测精度显著提升。考虑到原始负荷序列的复杂性和非平稳特征,提出基于改进的自适应噪声完备集合经验模态分解(ICEEMDAN)与排列熵(PE)重构的组合预测模型。首先,运用ICEEMDAN算法将原始负荷序列分解;然后,通过排列熵分析各分量的复杂度特征,将分解分量重构为高频、中频和低频三类信号;最后,结合GJO-KELM模型分别对各重构分量进行预测并叠加得到最终结果。在实际电力系统调度中,确定性预测无法提供不确定性信息,难以满足风险评估需求。鉴于此,在确定性预测基础上,构建基于Bootstrap的负荷区间预测模型。通过对历史预测残差进行有放回抽样,构建误差分布的经验累积函数,在80%、90%、95%不同置信水平下生成预测区间。实验结果显示,该方法在各置信水平下均能获得满足统计要求的区间预测结果,预测区间覆盖率均达到理论期望值以上,为电网调度提供了更全面的决策信息。",2025/12/1,2025.0,10.27327/d.cnki.gshnu.2025.001912,,,english,raw_data(CNKI).csv,10.27327/d.cnki.gshnu.2025.001912,面向智能化的智慧园区微电网调度优化方法,面向智能化的智慧园区微电网调度优化方法,include,
期刊,基于需求响应的微电网调度策略研究与应用,司文旭;伍俊霖;武明科,安科瑞电气股份有限公司;泸州老窖股份有限公司,现代建筑电气,,2025/6/30,2025.0,10.16618/j.cnki.1674-8417.2025.06.001,,,english,CNKI-20260327180524663.csv,10.16618/j.cnki.1674-8417.2025.06.001,10.19457/j.1001-2095.dqcd24909,基于峰谷电价与储能SOC状态的微电网能量调度策略研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,基于风光荷预测与DFT-MP-DBN建模的主动配电网可靠性评估,牟晋麟;杨超,贵州大学电气工程学院,电子测量技术,,2025/12/23,2025.0,10.19651/j.cnki.emt.2519013,2025年科技成果转化联合基金(黔科合成果LH[2025]重点014)项目资助,,chinese,CNKI-20260327180524663.csv,10.19651/j.cnki.emt.2519013,10.1038/S41598-025-28986-4,Design of a hybrid learning model for establishing consistency in smart grid environment,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
硕士,多元不确定性下微电网能量管理的研究,肖国威,广东工业大学,广东工业大学,,2025/5/24,2025.0,10.27029/d.cnki.ggdgu.2025.002295,,,english,CNKI-20260327180524663.csv,10.27029/d.cnki.ggdgu.2025.002295,10.5152/electrica.2024.22107,Short-Term Electricity Consumption Forecasting at Residential Level,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
硕士,多策略改进白鲨算法的风光氢储微电网优化调度,李练兵;高一波;代亮亮;高国强,河北工业大学人工智能与数据科学学院;河北工业大学省部共建电工装备可靠性与智能化国家重点实验室,华中科技大学学报(自然科学版),针对含制氢系统的微电网能量管理和优化调度问题，将系统经济性和供电可靠性作为目标函数，提出一种基于分解机制的多策略改进白鲨优化算法(IMOWSO/D)以实现多目标优化调度．分析并建立了包含风机、光伏、储能装置和碱性电解槽的制氢系统模型，制定约束条件和运行策略并采用MOWSO/D对制氢系统调度求解帕累托最优解集．为验证方法的可行性，与未改进的多目标白鲨优化算法(MOWSO)和非劣排序遗传算法Ⅱ(NSGA-Ⅱ)进行对比，在各算法帕累托前沿折衷点，所提方法经济性成本分别降低2 773元和1 371元，表明所提方法优化效果更好，具有一定的应用价值．,2025/3/14 8:59,2025.0,10.13245/j.hust.250644,河北省省级科技计划资助项目(20312102D),,chinese,raw_data(CNKI).csv,10.13245/j.hust.250644,10.26926/d.cnki.gbfgu.2024.000792,考虑源荷预测的改进多目标粒子群微电网优化调度研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
硕士,新能源微电网群多尺度鲁棒动态调控研究,徐家文,广东工业大学,广东工业大学,,2025/5/25,2025.0,10.27029/d.cnki.ggdgu.2025.001070,国家自然科学基金面上项目“新能源高渗透异质多尺度综合能源微网群分布式状态估计及安全域约束随机预测控制研究”(62273104);;,,chinese,CNKI-20260327180524663.csv,10.27029/d.cnki.ggdgu.2025.001070,10.3390/forecast7020025,Parallel Multi-Model Energy Demand Forecasting with Cloud Redundancy:,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,新能源系统负荷预测优化模型研究,方坤;林宇;赵金娥;钟瑞艳;侯化澎,山东能源集团景泰盛鲁新能源有限公司;云鼎科技股份有限公司,中国新技术新产品,基于机器学习的负荷预测优化模型在新能源电力系统中的应用价值重大，针对新能源发电的波动性和不确定性问题，本文构建一个长短期记忆网络（LSTM）与卷积神经网络（CNN）联合的混合模型，采用深度特征提取与时空融合方式，精准判定负荷变化规律。采用多源数据群组，包含历史负荷、电网运行相关参数和气象资讯，开展针对模型的训练和验证，有效提高了预测精度以及计算效率。试验结果说明，模型能在复杂工况下维持较高的稳定性，推动新能源电力系统调度优化水平提升，具有较强的实用意义和推广前景。,2025/11/25,2025.0,10.13612/j.cnki.cntp.2025.22.001,,,english,raw_data(CNKI).csv,10.13612/j.cnki.cntp.2025.22.001,10.26914/c.cnkihy.2025.077503,人工智能在电力负荷预测中的应用研究,include,
硕士,波浪发电系统功率预测与微电网调度优化,钟卓玲,广东工业大学,广东工业大学,,2025/5/24,2025.0,10.27029/d.cnki.ggdgu.2025.000906,国家自然科学基金(62173148);;,,chinese,CNKI-20260327180524663.csv,10.27029/d.cnki.ggdgu.2025.000906,10.1038/S41598-025-28907-5,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,电力调度中多源数据融合的智能决策系统构建与应用,杨日尧,国网山西省电力有限公司大同供电分公司,自动化应用,为了提升复杂电网环境下调度响应的时效性与准确性，构建多源数据融合的智能决策系统，研究融合异构数据，通过图神经网络与LSTM模型实现状态预测与调度辅助生成，设计多层系统架构与可视化交互机制。分析结果表明，该系统在频率控制、负荷预测与预警响应等任务中显著优于传统方案，具备较强的工程实用性与推广价值。,2025/12/25,2025.0,10.19769/j.zdhy.2025.24.043,,,english,raw_data(CNKI).csv,10.19769/j.zdhy.2025.24.043,10.3390/EN19010061,Measuring Peak Shaving Efficiency of an Energy Storage Device Under Load Uncertainty with Machine Learning-Based Forecasting Techniques,include,
硕士,考虑共享储能与综合需求响应协同的多区域风光微电网优化调度研究,刘凌志,广西大学,广西大学,,2025/6/1,2025.0,10.27034/d.cnki.ggxiu.2025.000594,,,english,CNKI-20260327180524663.csv,10.27034/d.cnki.ggxiu.2025.000594,10.1002/ENG2.70570,Short‐Term Residential Load Forecasting With FG‐LSTM‐TA: A Hybrid Deep Learning Approach Integrating Feature Gating and Temporal Attention for Enhanced Prediction Accuracy,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,考虑分时电价下基于改进蛇算法的混合能源微电网群低碳经济优化调度研究,李宏玉;续海宝;张浪;周刚,东北石油大学电气信息工程学院;中国石油集团长城钻探工程有限公司四川页岩气项目部,太阳能学报,,2025/4/5,2025.0,10.19912/j.0254-0096.tynxb.2023-1790,,,english,CNKI-20260327180524663.csv,10.19912/j.0254-0096.tynxb.2023-1790,基于深度学习的电网负荷预测与调度优化研究,基于深度学习的电网负荷预测与调度优化研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,考虑用户侧共享储能的山区微电网优化调度策略,符林贝;王海生;李中中;马立红;周航;张昌俊;崔建钊,海南电网有限责任公司海南能源发展研究院,浙江电力,,2025/6/25,2025.0,10.19585/j.zjdl.202506005,国家重点研发计划（2021YFB1507100）,,chinese,CNKI-20260327180524663.csv,10.19585/j.zjdl.202506005,基于标准化麻雀搜索算法的微电网调度研究,基于标准化麻雀搜索算法的微电网调度研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
硕士,考虑需求侧响应的微电网经济优化调度研究,李明倩,重庆理工大学,重庆理工大学,,2025/3/13,2025.0,10.27753/d.cnki.gcqgx.2025.001522,,,english,CNKI-20260327180524663.csv,10.27753/d.cnki.gcqgx.2025.001522,10.16618/j.cnki.1674-8417.2025.06.001,基于需求响应的微电网调度策略研究与应用,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
期刊,能源气候韧性下用电敏感行业识别与负荷预测,韦于思;周颖;商永朋;武亚杰;嵇灵,中国电力科学研究院有限公司;北京工业大学经济与管理学院,煤炭经济研究,在碳中和与极端气候双重背景下，提升区域电力系统对气象扰动的适应能力与高耗能行业的韧性管理，已成为能源安全的重要课题。构建了一个融合特征提取与模型优化的集成预测框架，首先，利用统一信息系数识别与气象高度相关的敏感型行业；随后，结合变分模态分解与样本熵技术提取负荷序列特征，并通过灰色关联分析筛选关键气象变量，构建高相关输入特征集；最后，基于长短期记忆神经网络对各模态序列建模并集成，实现日最大负荷预测。以山东省非金属矿物制品业为例，实证结果显示，该方法在预测精度、趋势拟合与极值响应方面均优于对比模型，具备良好的稳健性与泛化能力。,2025/11/28,2025.0,10.13202/j.cnki.cer.2025.11.028,国家电网公司总部科技项目（5400-202455314A-1-3-ZB）,,chinese,raw_data(CNKI).csv,10.13202/j.cnki.cer.2025.11.028,10.27034/d.cnki.ggxiu.2025.000594,考虑共享储能与综合需求响应协同的多区域风光微电网优化调度研究,exclude,E3 - 方法不符 / Method mismatch
,A Distributed-MPC Framework for Voltage Control Under Discrete Time-Wise,"Hossain, RR",,,"This article presents a distributed predictive design for real-time voltage control under changing load and generation profiles at discrete intervals. The existing control designs include centralized approach, providing an optimal solution but less scalable and susceptible to single-point failures/attacks, as well as decentralized or localized approach, having increased scalability and attack resilience but lacking optimality. The proposed distributed solution offers the attractive features of both approaches, where the neighboring nodes share their local information to attain an optimal solution while retaining scalability and resilience to single-point failures/attacks. We first introduce the centralized version of the voltage control problem assuming grid observability and then transfer it to the distributed versions based on both bus-wise and area-wise decompositions of the network. The distributed version is solved via alternating direction method of multipliers (ADMM) that, for bus-wise decomposition, needs a full set of local measurements, whereas only a partial set of local measurements (that guarantee area-wise grid observability for each area) is needed for area-wise decomposition, along with neighbor-to-neighbor communications. Additionally, leveraging the availability of measurement data, the framework includes a distributed method to estimate the admittance matrix $\mathbf {Y}$ of the underlying network graph. The proposed framework is validated against IEEE-30, IEEE-57 bus transmission systems, and IEEE-123 bus distribution systems and can tolerate certain levels of generation/load prediction uncertainties, modeling errors, and communication failures; plus, its in-built redundancy supports attack detection.",,2024.0,10.1109/tpwrs.2023.3266763,,,english,raw_data（wos).csv,10.1109/TPWRS.2023.3266763,基于深度学习的电力输配电线路节能降耗技术研究,基于深度学习的电力输配电线路节能降耗技术研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
